k,x,f
0.0,0.85,0.30718755034347195
1.0,1.025,0.12454502224029257
2.0,1.1124999999999998,0.03270072273895436
3.0,1.1562499999999998,-0.011451482423729285
4.0,1.134375,0.0104068663584078
5.0,1.1453125,-0.0005824441385307794
6.0,1.1398437499999998,0.004897901060230403
7.0,1.1425781249999998,0.00215406117761802
8.0,1.1439453124999999,0.0007848804134714171
9.0,1.14462890625,0.00010098469631798619
10.0,1.1449707031249998,-0.00024078825847152985
11.0,1.1447998046874999,-6.991639327245696e-05
12.0,1.14471435546875,1.553050124104922e-05
13.0,1.144757080078125,-2.71938589320456e-05
14.0,1.1447357177734374,-5.8319070312975125e-06
15.0,1.1447250366210937,4.84924006376807e-06
16.0,1.1447303771972657,-4.91347744828682e-07
17.0,1.1447277069091797,2.178942594297664e-06
18.0,1.1447290420532226,8.437965336064362e-07
19.0,1.144729709625244,1.762241716584044e-07
20.0,1.1447300434112548,-1.5756184230328002e-07
21.0,1.1447298765182494,9.331150748049821e-09
22.0,1.144729959964752,-7.411534913630783e-08
23.0,1.1447299182415007,-3.2392100086811065e-08
24.0,1.1447298973798752,-1.1530474892551094e-08
25.0,1.1447298869490623,-1.099662181052494e-09
26.0,1.1447298817336558,4.115744397656186e-09
27.0,1.144729884341359,1.508041242859716e-09
28.0,1.1447298856452106,2.0418952920358184e-10
29.0,1.1447298862971365,-4.477362556704705e-10
30.0,1.1447298859711734,-1.217732219817103e-10
31.0,1.144729885808192,4.120815358437281e-11
32.0,1.1447298858896828,-4.02826048843024e-11
33.0,1.1447298858489374,4.627036693820989e-13
34.0,1.14472988586931,-1.9909809249889355e-11
35.0,1.1447298858591237,-9.72355279035739e-12
36.0,1.1447298858540307,-4.630565918499428e-12
37.0,1.144729885851484,-2.083860445572228e-12
38.0,1.1447298858502106,-8.105077091037648e-13
39.0,1.144729885849574,-1.7383134086831683e-13
40.0,1.1447298858492558,1.4436548526386829e-13
41.0,1.144729885849415,-1.4803606795170996e-14
42.0,1.1447298858493353,6.47809392343423e-14
43.0,1.144729885849375,2.5059345212505487e-14
44.0,1.144729885849395,5.127869208666847e-15
45.0,1.144729885849405,-4.908547786173586e-15
46.0,1.1447298858494,1.8033970416801677e-16
